running try 1, g=2, size=2048, threads=16
running try 2, g=2, size=2048, threads=16
running try 3, g=2, size=2048, threads=16
running try 4, g=2, size=2048, threads=16
running try 5, g=2, size=2048, threads=16
running try 1, g=2, size=2048, threads=32
running try 2, g=2, size=2048, threads=32
running try 3, g=2, size=2048, threads=32
running try 4, g=2, size=2048, threads=32
running try 5, g=2, size=2048, threads=32
running try 1, g=2, size=32768, threads=16
running try 2, g=2, size=32768, threads=16
running try 3, g=2, size=32768, threads=16
running try 4, g=2, size=32768, threads=16
running try 5, g=2, size=32768, threads=16
running try 1, g=2, size=32768, threads=32
running try 2, g=2, size=32768, threads=32
running try 3, g=2, size=32768, threads=32
running try 4, g=2, size=32768, threads=32
running try 5, g=2, size=32768, threads=32
running try 1, g=2, size=524288, threads=16
running try 2, g=2, size=524288, threads=16
running try 3, g=2, size=524288, threads=16
running try 4, g=2, size=524288, threads=16
running try 5, g=2, size=524288, threads=16
running try 1, g=2, size=524288, threads=32
running try 2, g=2, size=524288, threads=32
running try 3, g=2, size=524288, threads=32
running try 4, g=2, size=524288, threads=32
running try 5, g=2, size=524288, threads=32
running try 1, g=2, size=8388608, threads=16
running try 2, g=2, size=8388608, threads=16
running try 3, g=2, size=8388608, threads=16
running try 4, g=2, size=8388608, threads=16
running try 5, g=2, size=8388608, threads=16
running try 1, g=2, size=8388608, threads=32
running try 2, g=2, size=8388608, threads=32
running try 3, g=2, size=8388608, threads=32
running try 4, g=2, size=8388608, threads=32
running try 5, g=2, size=8388608, threads=32
running try 1, g=2, size=134217728, threads=16
running try 2, g=2, size=134217728, threads=16
